1; 28.7; 0.0; -10.5;
2; 28.7; 5.4; -10.5;
3; 28.7; 11.8; -10.5;
4; 30.0; -1.3; -10.5;
5; 30.0; 5.4; -10.5;
6; 30.0; 11.8; -10.5;
7; 32.0; 5.4; -10.5;
8; 32.0; 11.8; -10.5;
9; 36.4; -1.3; -10.5;
10; 36.4; 11.8; -10.5;
11; 36.4; 18.5; -10.5;
12; 43.0; -1.3; -10.5;
13; 43.0; 5.4; -10.5;
14; 43.0; 11.8; -10.5;
15; 43.57; 11.8; -10.5;
16; 44.14; 11.8; -10.5;
17; 46.425; 11.8; -10.5;
18; 50.0; -1.3; -10.5;
19; 50.0; 5.4; -10.5;
20; 56.6; -1.3; -10.5;
21; 56.6; 18.5; -10.5;
22; 57.115; 17.2; -10.5;
23; 63.0; -1.3; -10.5;
24; 28.7; 17.2; -10.5;
25; 30.0; 2.5; -10.5;
26; 30.0; 3.14; -10.5;
27; 30.0; 3.78; -10.5;
28; 30.0; 4.32; -10.5;
29; 30.0; 4.86; -10.5;
30; 30.0; 12.34; -10.5;
31; 30.0; 12.88; -10.5;
32; 30.0; 13.42; -10.5;
33; 30.0; 14.06; -10.5;
34; 30.0; 0.0; -10.5;
35; 30.0; 0.5; -10.5;
36; 30.0; 1.0; -10.5;
37; 30.0; 1.5; -10.5;
38; 30.0; 2.0; -10.5;
39; 30.0; 14.7; -10.5;
40; 30.0; 15.2; -10.5;
41; 30.0; 15.7; -10.5;
42; 30.0; 16.2; -10.5;
43; 30.0; 16.7; -10.5;
44; 30.0; 17.2; -10.5;
45; 30.0; 18.5; -10.5;
46; 30.5; 5.4; -10.5;
47; 30.5; 11.8; -10.5;
48; 30.5517; 0.0; -10.5;
49; 30.5517; 17.2; -10.5;
50; 31.0; 5.4; -10.5;
51; 31.0; 11.8; -10.5;
52; 31.1033; 0.0; -10.5;
53; 31.1033; 17.2; -10.5;
54; 31.5; 5.4; -10.5;
55; 31.5; 11.8; -10.5;
56; 31.655; 0.0; -10.5;
57; 31.655; 17.2; -10.5;
58; 32.2067; 0.0; -10.5;
59; 32.2067; 17.2; -10.5;
60; 32.7583; 0.0; -10.5;
61; 32.7583; 17.2; -10.5;
62; 33.31; 0.0; -10.5;
63; 33.31; 17.2; -10.5;
64; 33.825; 0.0; -10.5;
65; 33.825; 17.2; -10.5;
66; 34.34; 0.0; -10.5;
67; 34.34; 17.2; -10.5;
68; 34.855; 0.0; -10.5;
69; 34.855; 17.2; -10.5;
70; 35.37; 0.0; -10.5;
71; 35.37; 17.2; -10.5;
72; 35.885; 0.0; -10.5;
73; 35.885; 17.2; -10.5;
74; 36.4; 0.0; -10.5;
75; 36.4; 5.4; -10.5;
76; 36.4; 17.2; -10.5;
77; 36.95; 0.0; -10.5;
78; 37.5; 0.0; -10.5;
79; 38.05; 0.0; -10.5;
80; 38.6; 0.0; -10.5;
81; 39.15; 0.0; -10.5;
82; 39.7; 0.0; -10.5;
83; 40.25; 0.0; -10.5;
84; 40.8; 0.0; -10.5;
85; 41.35; 0.0; -10.5;
86; 41.9; 0.0; -10.5;
87; 42.45; 0.0; -10.5;
88; 43.0; 2.0; -10.5;
89; 43.0; 2.5; -10.5;
90; 43.0; 3.0; -10.5;
91; 43.0; 13.42; -10.5;
92; 43.0; 0.0; -10.5;
93; 43.0; 0.5; -10.5;
94; 43.0; 1.0; -10.5;
95; 43.0; 1.5; -10.5;
96; 43.0; 12.34; -10.5;
97; 43.0; 12.88; -10.5;
98; 43.0; 13.96; -10.5;
99; 43.0; 14.5; -10.5;
100; 43.0; 15.04; -10.5;
101; 43.0; 15.58; -10.5;
102; 43.0; 16.12; -10.5;
103; 43.0; 16.66; -10.5;
104; 43.0; 17.2; -10.5;
105; 43.0; 18.5; -10.5;
106; 43.5; 17.2; -10.5;
107; 44.71; 11.8; -10.5;
108; 44.81; 17.2; -10.5;
109; 45.28; 11.8; -10.5;
110; 45.28; 17.2; -10.5;
111; 45.85; 17.2; -10.5;
112; 45.85; 11.8; -10.5;
113; 46.425; 17.2; -10.5;
114; 47.0; 17.2; -10.5;
115; 47.0; 11.8; -10.5;
116; 47.575; 17.2; -10.5;
117; 47.575; 11.8; -10.5;
118; 48.15; 17.2; -10.5;
119; 48.15; 11.8; -10.5;
120; 48.6125; 11.8; -10.5;
121; 49.075; 11.8; -10.5;
122; 49.535; 11.8; -10.5;
123; 49.575; 17.2; -10.5;
124; 50.0; 0.0; -10.5;
125; 50.0; 2.0; -10.5;
126; 50.0; 2.5; -10.5;
127; 50.0; 3.0; -10.5;
128; 50.0; 11.8; -10.5;
129; 50.0; 13.42; -10.5;
130; 50.0; 0.5; -10.5;
131; 50.0; 1.0; -10.5;
132; 50.0; 1.5; -10.5;
133; 50.0; 12.34; -10.5;
134; 50.0; 12.88; -10.5;
135; 50.0; 13.96; -10.5;
136; 50.0; 14.5; -10.5;
137; 50.0; 15.04; -10.5;
138; 50.0; 15.58; -10.5;
139; 50.0; 16.12; -10.5;
140; 50.0; 16.66; -10.5;
141; 50.0; 17.2; -10.5;
142; 50.0; 18.5; -10.5;
143; 50.55; 0.0; -10.5;
144; 51.1; 0.0; -10.5;
145; 51.65; 0.0; -10.5;
146; 52.2; 0.0; -10.5;
147; 52.75; 0.0; -10.5;
148; 53.3; 0.0; -10.5;
149; 53.85; 0.0; -10.5;
150; 54.4; 0.0; -10.5;
151; 54.95; 0.0; -10.5;
152; 55.5; 0.0; -10.5;
153; 56.05; 0.0; -10.5;
154; 56.6; 0.0; -10.5;
155; 56.6; 5.4; -10.5;
156; 56.6; 11.8; -10.5;
157; 56.6; 17.2; -10.5;
158; 57.115; 0.0; -10.5;
159; 57.63; 0.0; -10.5;
160; 57.63; 17.2; -10.5;
161; 58.145; 0.0; -10.5;
162; 58.145; 17.2; -10.5;
163; 58.66; 0.0; -10.5;
164; 58.66; 17.2; -10.5;
165; 59.175; 0.0; -10.5;
166; 59.175; 17.2; -10.5;
167; 59.69; 0.0; -10.5;
168; 59.69; 17.2; -10.5;
169; 60.2417; 0.0; -10.5;
170; 60.2417; 17.2; -10.5;
171; 60.7933; 0.0; -10.5;
172; 60.7933; 17.2; -10.5;
173; 61.0; 5.4; -10.5;
174; 61.0; 11.8; -10.5;
175; 61.345; 0.0; -10.5;
176; 61.345; 17.2; -10.5;
177; 61.5; 5.4; -10.5;
178; 61.5; 11.8; -10.5;
179; 61.8967; 0.0; -10.5;
180; 61.8967; 17.2; -10.5;
181; 62.0; 5.4; -10.5;
182; 62.0; 11.8; -10.5;
183; 62.4483; 0.0; -10.5;
184; 62.4483; 17.2; -10.5;
185; 62.5; 5.4; -10.5;
186; 62.5; 11.8; -10.5;
187; 63.0; 0.0; -10.5;
188; 63.0; 2.0; -10.5;
189; 63.0; 2.5; -10.5;
190; 63.0; 3.14; -10.5;
191; 63.0; 3.78; -10.5;
192; 63.0; 4.32; -10.5;
193; 63.0; 4.86; -10.5;
194; 63.0; 11.8; -10.5;
195; 63.0; 12.34; -10.5;
